epoch,train_mse,validation_mse,learning_rate
1,0.04283,0.023442,0.0001
2,0.020314,0.015306,0.0001
3,0.015075,0.012553,0.0001
4,0.012998,0.010729,0.0001
5,0.011265,0.009361,0.0001
6,0.01004,0.008465,0.0001
7,0.00921,0.007797,0.0001
8,0.008543,0.00718,0.0001
9,0.007962,0.006779,0.0001
10,0.007499,0.006303,0.0001
11,0.007088,0.006794,0.0001
12,0.006782,0.005642,0.0001
13,0.006379,0.005399,0.0001
14,0.006069,0.005097,0.0001
15,0.005822,0.004871,0.0001
16,0.005577,0.004675,0.0001
17,0.005366,0.00449,0.0001
18,0.005192,0.004359,0.0001
19,0.005069,0.00427,0.0001
20,0.00488,0.004256,0.0001
21,0.004717,0.003914,0.0001
22,0.004601,0.003798,0.0001
23,0.004513,0.004047,0.0001
24,0.004384,0.003591,0.0001
25,0.004235,0.003515,0.0001
26,0.004125,0.003447,0.0001
27,0.004097,0.003342,0.0001
28,0.003917,0.003233,0.0001
29,0.003847,0.00316,0.0001
30,0.003761,0.003084,0.0001
31,0.003664,0.003024,0.0001
32,0.0036,0.002996,0.0001
33,0.003516,0.00284,0.0001
34,0.00344,0.002793,0.0001
35,0.00335,0.002729,0.0001
36,0.003312,0.002679,0.0001
37,0.003207,0.0026,0.0001
38,0.003173,0.002544,0.0001
39,0.003089,0.002478,0.0001
40,0.003044,0.002424,0.0001
41,0.002966,0.002382,0.0001
42,0.00296,0.00233,0.0001
43,0.002878,0.002302,0.0001
44,0.002818,0.002254,0.0001
45,0.002787,0.002244,0.0001
46,0.00272,0.002166,0.0001
47,0.002716,0.00213,0.0001
48,0.002624,0.002111,0.0001
49,0.0026,0.002094,0.0001
50,0.002569,0.00206,0.0001
