epoch,train_mse,validation_mse,validation_psnr,validation_kl,beta,learning_rate
1,0.01207,0.00662,21.79,1.0586,5e-05,0.0001
2,0.00551,0.00605,22.18,0.641,6e-05,0.0001
3,0.00433,0.00379,24.21,0.4703,8e-05,0.0001
4,0.00368,0.0034,24.68,0.3728,9e-05,0.0001
5,0.00326,0.00356,24.48,0.8518,0.0001,0.0001
6,0.00289,0.00277,25.57,0.9578,0.00012,0.0001
7,0.00265,0.00271,25.67,0.9652,0.00013,0.0001
8,0.00243,0.00297,25.27,1.2962,0.00014,0.0001
9,0.00225,0.0024,26.2,1.4023,0.00016,0.0001
10,0.00205,0.00254,25.95,1.45,0.00017,0.0001
11,0.0019,0.00224,26.49,1.5288,0.00018,0.0001
12,0.00183,0.00211,26.77,1.0995,0.00019,0.0001
13,0.0017,0.00204,26.91,1.2448,0.00021,0.0001
14,0.00162,0.00238,26.23,1.1728,0.00022,0.0001
15,0.00159,0.00206,26.86,1.1424,0.00023,0.0001
16,0.00152,0.0019,27.21,1.0927,0.00025,0.0001
17,0.00144,0.00187,27.28,1.0307,0.00026,0.0001
18,0.00139,0.00223,26.52,0.8906,0.00027,0.0001
19,0.00137,0.00194,27.13,0.878,0.00029,0.0001
20,0.00133,0.0019,27.21,0.7362,0.0003,0.0001
21,0.00127,0.00185,27.33,0.7348,0.0003,0.0001
22,0.00123,0.00196,27.09,0.74,0.0003,0.0001
23,0.00122,0.00184,27.36,0.7132,0.0003,0.0001
24,0.00118,0.0017,27.69,0.6253,0.0003,0.0001
25,0.00118,0.00161,27.93,0.7049,0.0003,0.0001
26,0.00111,0.00166,27.8,0.571,0.0003,0.0001
27,0.00112,0.00179,27.47,0.5572,0.0003,0.0001
28,0.00106,0.00164,27.86,0.4786,0.0003,0.0001
29,0.00104,0.00148,28.28,0.4955,0.0003,0.0001
30,0.00103,0.00149,28.28,0.3965,0.0003,0.0001
31,0.00101,0.00145,28.37,0.4484,0.0003,0.0001
32,0.00097,0.00155,28.1,0.3931,0.0003,0.0001
33,0.00098,0.00142,28.46,0.3666,0.0003,0.0001
34,0.00094,0.00155,28.09,0.3413,0.0003,0.0001
35,0.00094,0.00139,28.57,0.3585,0.0003,0.0001
36,0.0009,0.00148,28.3,0.2964,0.0003,0.0001
37,0.0009,0.00151,28.22,0.2714,0.0003,0.0001
38,0.00089,0.00134,28.72,0.2552,0.0003,0.0001
39,0.00087,0.00132,28.79,0.2559,0.0003,0.0001
40,0.00087,0.0013,28.86,0.2003,0.0003,0.0001
41,0.00084,0.00136,28.65,0.1856,0.0003,0.0001
42,0.00083,0.00126,29.01,0.1823,0.0003,0.0001
43,0.00081,0.00129,28.9,0.1697,0.0003,0.0001
44,0.0008,0.00123,29.12,0.1536,0.0003,0.0001
45,0.0008,0.0013,28.86,0.1751,0.0003,0.0001
46,0.0008,0.00124,29.06,0.1488,0.0003,0.0001
47,0.00078,0.00124,29.06,0.1133,0.0003,0.0001
48,0.00078,0.00121,29.19,0.1098,0.0003,0.0001
49,0.00078,0.00116,29.37,0.1044,0.0003,0.0001
50,0.00075,0.00124,29.07,0.1017,0.0003,0.0001
51,0.00075,0.00119,29.25,0.0924,0.0003,0.0001
52,0.00074,0.00122,29.13,0.092,0.0003,0.0001
53,0.00073,0.00132,28.79,0.0907,0.0003,0.0001
54,0.00073,0.00114,29.41,0.0683,0.0003,0.0001
55,0.00072,0.00112,29.51,0.0616,0.0003,0.0001
56,0.00072,0.00115,29.4,0.069,0.0003,0.0001
57,0.0007,0.00115,29.41,0.0501,0.0003,0.0001
58,0.0007,0.0011,29.59,0.0455,0.0003,0.0001
59,0.0007,0.00113,29.47,0.0502,0.0003,0.0001
60,0.0007,0.00113,29.48,0.0418,0.0003,0.0001
61,0.00068,0.00112,29.51,0.0489,0.0003,0.0001
62,0.00068,0.00108,29.66,0.0348,0.0003,0.0001
63,0.00068,0.00111,29.56,0.0382,0.0003,0.0001
64,0.00068,0.0011,29.6,0.026,0.0003,0.0001
65,0.00067,0.00109,29.62,0.0376,0.0003,0.0001
66,0.00065,0.00106,29.76,0.0254,0.0003,0.0001
67,0.00065,0.00109,29.61,0.0225,0.0003,0.0001
68,0.00065,0.00107,29.69,0.0388,0.0003,0.0001
69,0.00065,0.00108,29.67,0.0256,0.0003,0.0001
70,0.00066,0.00107,29.71,0.032,0.0003,0.0001
71,0.00064,0.00112,29.51,0.0259,0.0003,0.0001
72,0.00063,0.00108,29.66,0.0322,0.0003,5e-05
73,0.00059,0.00101,29.97,0.0142,0.0003,5e-05
74,0.00058,0.00101,29.95,0.012,0.0003,5e-05
75,0.00057,0.001,30.01,0.0148,0.0003,5e-05
76,0.00057,0.00099,30.04,0.01,0.0003,5e-05
77,0.00057,0.00099,30.04,0.0104,0.0003,5e-05
78,0.00057,0.001,30.0,0.0091,0.0003,5e-05
79,0.00056,0.00098,30.09,0.0087,0.0003,5e-05
80,0.00057,0.00099,30.04,0.0095,0.0003,5e-05
